,Time To Goal,MSE,Model,Trial
14539,1.0,0.49784329533576965,MP-S1,726
14540,0.0,0.1023474708199501,MP-S1,727
14541,0.05,0.09268549829721451,MP-S1,727
14542,0.1,0.05881007760763168,MP-S1,727
14543,0.15,0.06985245645046234,MP-S1,727
14544,0.2,0.0769563838839531,MP-S1,727
14545,0.25,0.06295653432607651,MP-S1,727
14546,0.3,0.13596197962760925,MP-S1,727
14547,0.35,0.16375865042209625,MP-S1,727
14548,0.4,0.20159555971622467,MP-S1,727
14549,0.45,0.24363219738006592,MP-S1,727
14550,0.5,0.28010663390159607,MP-S1,727
14551,0.55,0.28010663390159607,MP-S1,727
14552,0.6,0.2916248142719269,MP-S1,727
14553,0.65,0.2916248142719269,MP-S1,727
14554,0.7,0.210760235786438,MP-S1,727
14555,0.75,0.210760235786438,MP-S1,727
14556,0.8,0.19786794483661652,MP-S1,727
14557,0.85,0.19786794483661652,MP-S1,727
14558,0.9,0.18131405115127563,MP-S1,727
14559,1.0,0.15617111325263977,MP-S1,727
14560,0.0,1.2162646055221558,MP-S1,728
14561,0.05,1.4277948141098022,MP-S1,728
14562,0.1,1.645182490348816,MP-S1,728
14563,0.15,1.8234554529190063,MP-S1,728
14564,0.2,1.8131150007247925,MP-S1,728
14565,0.25,1.4521515369415283,MP-S1,728
14566,0.3,0.7451159358024597,MP-S1,728
14567,0.35,0.49847057461738586,MP-S1,728
14568,0.4,0.4557167589664459,MP-S1,728
14569,0.45,0.45490285754203796,MP-S1,728
14570,0.5,0.4965728521347046,MP-S1,728
14571,0.55,0.4031108319759369,MP-S1,728
14572,0.6,0.4234350025653839,MP-S1,728
14573,0.65,0.4309253394603729,MP-S1,728
14574,0.7,0.2759281098842621,MP-S1,728
14575,0.75,0.2972988188266754,MP-S1,728
14576,0.8,0.3601779639720917,MP-S1,728
14577,0.85,0.37688350677490234,MP-S1,728
14578,0.9,0.41096535325050354,MP-S1,728
14579,1.0,0.47073110938072205,MP-S1,728
14580,0.0,0.34812745451927185,MP-S1,729
14581,0.05,0.45709142088890076,MP-S1,729
14582,0.1,0.6948562264442444,MP-S1,729
14583,0.15,0.8188018798828125,MP-S1,729
14584,0.2,1.0088889598846436,MP-S1,729
14585,0.25,1.1746655702590942,MP-S1,729
14586,0.3,1.4365248680114746,MP-S1,729
14587,0.35,1.5698028802871704,MP-S1,729
14588,0.4,1.723419189453125,MP-S1,729
14589,0.45,1.783409833908081,MP-S1,729
14590,0.5,1.8981945514678955,MP-S1,729
14591,0.55,2.0063445568084717,MP-S1,729
14592,0.6,0.7276437878608704,MP-S1,729
14593,0.65,0.3507370352745056,MP-S1,729
14594,0.7,0.44153904914855957,MP-S1,729
14595,0.75,0.5320050716400146,MP-S1,729
14596,0.8,0.6087986826896667,MP-S1,729
14597,0.85,0.6932590007781982,MP-S1,729
14598,0.9,0.7790413498878479,MP-S1,729
14599,1.0,0.8555992245674133,MP-S1,729
14600,0.0,0.1767909824848175,MP-S1,730
14601,0.05,0.1754796802997589,MP-S1,730
14602,0.1,0.25924479961395264,MP-S1,730
14603,0.15,0.40454819798469543,MP-S1,730
14604,0.2,0.396222859621048,MP-S1,730
14605,0.25,0.5254849195480347,MP-S1,730
14606,0.3,0.6052893400192261,MP-S1,730
14607,0.35,0.7022691369056702,MP-S1,730
14608,0.4,0.8095511198043823,MP-S1,730
14609,0.45,0.9373993873596191,MP-S1,730
14610,0.5,1.0836368799209595,MP-S1,730
14611,0.55,1.076873540878296,MP-S1,730
14612,0.6,1.025784969329834,MP-S1,730
14613,0.65,0.14550383388996124,MP-S1,730
14614,0.7,0.08865969628095627,MP-S1,730
14615,0.75,0.07161636650562286,MP-S1,730
14616,0.8,0.07285445928573608,MP-S1,730
14617,0.85,0.0845792219042778,MP-S1,730
14618,0.9,0.08835190534591675,MP-S1,730
14619,1.0,0.1481567919254303,MP-S1,730
14620,0.0,0.39358440041542053,MP-S1,731
14621,0.05,0.3425547480583191,MP-S1,731
14622,0.1,0.409048467874527,MP-S1,731
14623,0.15,0.5577518343925476,MP-S1,731
14624,0.2,0.7293514609336853,MP-S1,731
14625,0.25,0.915749728679657,MP-S1,731
14626,0.3,1.1913830041885376,MP-S1,731
14627,0.35,1.112770676612854,MP-S1,731
14628,0.4,1.376753568649292,MP-S1,731
14629,0.45,1.5556657314300537,MP-S1,731
14630,0.5,0.6513997912406921,MP-S1,731
14631,0.55,0.2199600338935852,MP-S1,731
14632,0.6,0.0797647088766098,MP-S1,731
14633,0.65,0.07484729588031769,MP-S1,731
14634,0.7,0.08952256292104721,MP-S1,731
14635,0.75,0.02990618720650673,MP-S1,731
14636,0.8,0.026385722681879997,MP-S1,731
14637,0.85,0.025572001934051514,MP-S1,731
14638,0.9,0.02155216410756111,MP-S1,731
14639,1.0,0.02496604062616825,MP-S1,731
14640,0.0,1.6027010679244995,MP-S1,732
14641,0.05,1.6630973815917969,MP-S1,732
14642,0.1,1.7538554668426514,MP-S1,732
14643,0.15,1.8266596794128418,MP-S1,732
14644,0.2,1.8245346546173096,MP-S1,732
14645,0.25,1.8526440858840942,MP-S1,732
14646,0.3,1.9262803792953491,MP-S1,732
14647,0.35,1.9921718835830688,MP-S1,732
14648,0.4,1.9683761596679688,MP-S1,732
14649,0.45,2.2275445461273193,MP-S1,732
14650,0.5,2.269685983657837,MP-S1,732
14651,0.55,2.159607172012329,MP-S1,732
14652,0.6,2.2273380756378174,MP-S1,732
14653,0.65,1.0017118453979492,MP-S1,732
14654,0.7,1.2050999402999878,MP-S1,732
14655,0.75,1.5018024444580078,MP-S1,732
14656,0.8,1.3548303842544556,MP-S1,732
14657,0.85,1.6712548732757568,MP-S1,732
14658,0.9,1.7453107833862305,MP-S1,732
14659,1.0,2.0449514389038086,MP-S1,732
14660,0.0,0.4451291263103485,MP-S1,733
14661,0.05,0.5960211753845215,MP-S1,733
14662,0.1,0.44499170780181885,MP-S1,733
14663,0.15,0.39522281289100647,MP-S1,733
14664,0.2,0.6708845496177673,MP-S1,733
14665,0.25,0.953999400138855,MP-S1,733
14666,0.3,1.1919519901275635,MP-S1,733
14667,0.35,1.5707142353057861,MP-S1,733
14668,0.4,1.6288344860076904,MP-S1,733
14669,0.45,2.1828715801239014,MP-S1,733
14670,0.5,2.497300863265991,MP-S1,733
14671,0.55,2.352921485900879,MP-S1,733
14672,0.6,2.3529956340789795,MP-S1,733
14673,0.65,1.2576168775558472,MP-S1,733
14674,0.7,0.7721059918403625,MP-S1,733
14675,0.75,0.8460428714752197,MP-S1,733
14676,0.8,0.9584196209907532,MP-S1,733
14677,0.85,0.7243430018424988,MP-S1,733
14678,0.9,0.6209079027175903,MP-S1,733
14679,1.0,1.1390918493270874,MP-S1,733
14680,0.0,1.5079041719436646,MP-S1,734
14681,0.05,1.4362865686416626,MP-S1,734
14682,0.1,1.5089787244796753,MP-S1,734
14683,0.15,1.519547939300537,MP-S1,734
14684,0.2,1.4346843957901,MP-S1,734
14685,0.25,1.3560779094696045,MP-S1,734
14686,0.3,1.3647665977478027,MP-S1,734
14687,0.35,1.643027901649475,MP-S1,734
14688,0.4,1.6559500694274902,MP-S1,734
14689,0.45,1.6936622858047485,MP-S1,734
14690,0.5,1.7369697093963623,MP-S1,734
14691,0.55,1.8072750568389893,MP-S1,734
14692,0.6,1.3055641651153564,MP-S1,734
14693,0.65,0.7948151230812073,MP-S1,734
14694,0.7,0.651846706867218,MP-S1,734
